Customer ID,Name,Surname,Gender,Age,Date Joined,Balance
100000001,Simon,Walsh,Male,21,"January 5, 2015","$113,810.15"
400000002,Jasmine,Miller,Female,34,"January 6, 2015","$36,919.73"
100000003,Liam,Brown,Male,46,"January 7, 2015","$101,536.83"
300000004,Trevor,Parr,Male,32,"January 8, 2015","$1,421.52"
100000005,Deirdre,Pullman,Female,38,"January 9, 2015","$35,639.79"
300000006,Ava,Coleman,Female,30,"January 9, 2015","$122,443.77"
100000007,Dorothy,Thomson,Female,34,"January 11, 2015","$42,879.84"
200000008,Lisa,Knox,Female,48,"January 11, 2015","$36,680.17"
300000009,Ruth,Campbell,Female,33,"January 11, 2015","$74,284.35"
100000010,Dominic,Parr,Male,42,"January 12, 2015","$10,912.45"
100000011,Dominic,Lewis,Male,40,"January 12, 2015","$39,667.83"
100000012,Benjamin,Grant,Male,39,"January 12, 2015","$32,281.62"
100000013,Ryan,MacDonald,Male,24,"January 12, 2015","$40,781.63"
200000014,Thomas,Lawrence,Male,46,"January 12, 2015","$48,791.46"
300000015,Madeleine,Marshall,Female,36,"January 12, 2015","$2,846.03"
100000016,Nicholas,Newman,Male,42,"January 14, 2015","$2,116.85"
200000017,Grace,Hill,Female,31,"January 14, 2015","$10,356.31"
200000018,Samantha,Coleman,Female,42,"January 14, 2015","$3,801.69"
100000019,William,Ince,Male,40,"January 15, 2015","$65,534.69"
100000020,Audrey,Jones,Female,46,"January 15, 2015","$11,462.64"
