Customer ID,Name,Surname,Gender,Age,Date Joined,Balance
100000001,Simon,Walsh,Male,21,2015-01-05,113810.15
400000002,Jasmine,Miller,Female,34,2015-01-06,36919.73
100000003,Liam,Brown,Male,46,2015-01-07,101536.83
300000004,Trevor,Parr,Male,32,2015-01-08,1421.52
100000005,Deirdre,Pullman,Female,38,2015-01-09,35639.79
300000006,Ava,Coleman,Female,30,2015-01-09,122443.77
100000007,Dorothy,Thomson,Female,34,2015-01-11,42879.84
200000008,Lisa,Knox,Female,48,2015-01-11,36680.17
300000009,Ruth,Campbell,Female,33,2015-01-11,74284.35
100000010,Dominic,Parr,Male,42,2015-01-12,10912.45
100000011,Dominic,Lewis,Male,40,2015-01-12,39667.83
100000012,Benjamin,Grant,Male,39,2015-01-12,32281.62
100000013,Ryan,MacDonald,Male,24,2015-01-12,40781.63
200000014,Thomas,Lawrence,Male,46,2015-01-12,48791.46
300000015,Madeleine,Marshall,Female,36,2015-01-12,2846.03
100000016,Nicholas,Newman,Male,42,2015-01-14,2116.85
200000017,Grace,Hill,Female,31,2015-01-14,10356.31
200000018,Samantha,Coleman,Female,42,2015-01-14,3801.69
100000019,William,Ince,Male,40,2015-01-15,65534.69
100000020,Audrey,Jones,Female,46,2015-01-15,11462.64
